age;year;rank;ICD-2_code;underlying_cause;total_N;percentage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1915;1;6;Measles;5.544;20,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1915;2;91;Broncho-pneumonia;4.135;15,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1915;3;8;Whooping cough;2.397;9,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1915;4;89&90B;Other bronchitis;1.632;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1915;5;9A;Diphtheria;1.324;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1915;6;30;Tuberculous meningitis;1.121;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1915;7;92B;Pneumonia (type not stated);1.073;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1915;8;61C;Meningitis, other forms;603;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1915;9;104A;Infective enteritis;578;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1915;10;7;Scarlet fever;566;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1925;1;100;Broncho-pneumonia;2.693;20,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1925;2;7;Measles;1.785;13,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1925;2;9;Whooping cough;1.785;13,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1925;4;10;Diphtheria;664;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1925;5;113,114(3);Other diseases included under diarrhoea and enteritis;613;4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
